id,text
1074804607073832961,RT @newscolina: Por todas as propostas não aceitas; respeito com a nossa camisa; defesas milagrosas e títulos conquistados. Obrigado por tu…
1073572314606956549,"RT @omelete: O Aquaman chegou com tudo, meus amigos! https://t.co/eCGSrBsqs2"
1073571964034396160,"RT @rubensvalente: Em apenas 24 horas, Carlos Bolsonaro ofendeu a Globonews, dizendo que ela serviria para recolher fezes de cachorro, comp…"
1073275223607259138,Olha aí @Firmino1984 https://t.co/b359i7n4FQ
1073226462784827392,"RT @l_castan: @brazbruno @UOLEsporte Oxi , quando eu falei isso ??? Não dei entrevista à ninguém , e não falei disso a ninguém , bom dia a…"
1073176005848821760,@ZeColmia3 @QUIOSQUEMILGRAU @StephanSouza85 @fzenas @VascodaGama Confio em vcs para melhorar nosso Vasco
1072814380474081282,"RT @CarlaZambelli17: Movimentações suspeitas por assessores na ALERJ, segundo o COAF:

- André Ceciliano (PT): 4 servidores movimentaram R$…"
1072811343470825472,"Olha aí @Firmino1984 , o que acha? https://t.co/6LnJA5VzFm"
1072809121655726080,RT @ROBSON_LEITE: Só uma curiosidade. Alguém sabe dizer o motivo pelo qual o motorista ainda permanece sem dar nenhuma explicação sobre o d…
1072579752341487618,RT @expresso_1898: ATENÇÃO! Presidente Campello recebeu hoje o pai do Leandro Castan e foi enfático: não abre mão da permanência do jogador…
