id,text
1074878296364605441,"@NBCTheVoice @imkennedyholmes @ddlovato You are truly a star,  an entertainer and I love you, I voted,  did  you??"
1074878042521112576,RT @NBCTheVoice: What’s wrong with being @imkennedyholmes? UHH… NOTHING! Our teenage queen is singing “Confident” by @ddlovato like it’s he…
1074877509215367168,"RT @jtimberlake: Me, as an adult. 

https://t.co/zKI4D6zmzb https://t.co/Iy4Gt68jmE"
1074876828223987713,"RT @WhiteHouse: On December 17, 1903, the first successful flight of Wilbur and Orville Wright's handcrafted biplane ushered in the age of…"
1074876246562168832,RT @HeidiGlausKSDK: WOW!!! That @imkennedyholmes and jhud duet was AMAZING!
1074875462306971649,@imkennedyholmes Loved your song
1074841484279640064,@imkennedyholmes love is free...i love it❤❤
1074836921900298240,Kennedy Holmes is the voice ❤❤@IAMJHUD #VoiceFinale
1074836647685050369,You have been my favorite and number 1 since your blind audition.  I have faith that you will dominate tonights show and win it all. I loveyou kennedy ❤❤@imkennedyholmes
1074828537599799296,Didn't realize until now that I misspelled my name smh
