id,text
1074775125587836928,RT @OmarRazzaz: قول وفعل! سيدنا أمر بكسر ظهر الفساد والجميع تحرك لإداء الواجب. مطيع في قبضتنا وللحديث بقية
1071390284431441921,@_3mour هههههههههههه لو احنا بالكرسي الخلفي زمان اجانا اولاد
1069836109524348929,@_3mour 😂😂😂
1069836027320262656,RT @AlHusseinHKJ: الحمد لله تم إطلاق أول قمر صناعي أردني مصغر (JY1-Sat) من كاليفورنيا في الولايات المتحدة إلى الفضاء بنجاح. جهود كبيرة بذله…
1069835954343632901,@zeyadkhazaleh امانه حكيتله عني
1064817540331905024,RT @KingAbdullahII: إِنَّ اللَّهَ وَمَلَائِكَتَهُ يُصَلُّونَ عَلَى النَّبِيِّ يا أَيُّهَا الَّذِينَ آمَنُوا صَلُّوا عَلَيْهِ وَسَلِّمُوا تَ…
1064241280945917954,RT @HamzahHKJ: يا وطني....
1063535391876239360,"RT @OmarRazzaz: نترحّم على روح شهيد الوطن الملازم أحمد الرواحنة، من مرتَّب ""مكافحة المخدّرات""، ونتعهّد بأن تستمر حربنا ضدّ آفة المخدّرات."
1063196484408156160,RT @Hushaza: أن يستقوي الإنسانُ على وطنه، وأن يكذبَ على الرأي العام ويختلق القصص البوليسية، وأن يسيء أساءةً كبيرة لوطنه ودينه بهذا الشكل ..…
1063010056638267392,RT @AlHusseinHKJ: سعدت بصحبة عمي سمو الأمير الحسن حفظه الله على متن إحدى رحلات الملكية الأردنية.. أوقات سعيدة دائما، الله لا يحرمنا من هالض…
