id,text
1075045092203921408,RT @FINALLEVEL: Your Mission: https://t.co/fPuySkSb0t
1074771432222220289,@ColinHewetson @DavidLammy Live with what exactly mate?
640540387745120258,#jimandtanyagetmarried
438727426206892032,@LucienLondon what days do west ham train on? And what time?
405401232736387072,@GUYANIZE_BOII  07985478449
404371009354362880,@GUYANIZE_BOII yo bobs holla at me. Hope your good?
400978106158448640,@Ericthomasbtc u need to get over to the uk there a lot if of youth and young adults that need to hear you!
400977751253192704,@Ericthomasbtc et man ur inspirational!
400970852302606336,"@AdrienBroner love what ur doing, and the manner  ur doing in keep up the good work!"
400705089104793600,@Ericthomasbtchiphoppreacher a fan from London interested in your work follow me! Pls
