id,text
1075112302930726914,https://t.co/ubxEygA42h
1075111221932761089,https://t.co/WAzexRxGF5
1075110693853110273,This is so sick and vicious! This PBS should rot in prison!!!! https://t.co/oHlpEDpa9K
1075091548059119618,Yalitza Aparicio: An Indigenous Mexican Woman Captivates Hollywood https://t.co/E16La5o0od
1075085816500760576,'Friends teased me over my opera dreams' https://t.co/bfwN5CrjSr
1075085425868488706,The Nigerian singer who broke Romania https://t.co/tPC5s7eazY
1075085055553404931,The French-Cuban twins who sing in Yoruba https://t.co/0aWeXD8uoM
1075070225467486208,https://t.co/L0ndAvXTkh
1075067351652012033,I believe that this is a first for Vogue Mexico. https://t.co/Iq84Glu0wB
1074963969893380097,https://t.co/R3djn9W4ps
