id,text
1074825294811459584,"#GearsCOTW Its is my clip ;)
¡Made in Mexico! https://t.co/0qcAQpo28A"
1070492105422843904,RT @EsportsGears: Optimal GG take home the W 7-4 in their show match against @FireNIceEsports https://t.co/QkdOCRfFqT
1068294363468492802,"RT @GearsofWar: LIVE NOW: Gears 4 Developer Stream
☑️ Tune in and claim the Canadian Omen Snub skin for free!
☑️ Win UIR Vanguard Character…"
1064289272226816000,"RT @EsportsGears: It all comes down to this - @OpTicGaming vs @TheRiseNation in the Grand Finals of the $200,000 Gears Pro Circuit Columbus…"
1064256404679258114,"RT @EsportsGears: And then there were 4 - Semi-finals coming up next!
@OpTicGaming vs @FireNIceEsports 
Fury vs @TheRiseNation

Tune in - h…"
1064256326962999296,RT @EsportsGears: LIVE NOW - Two of this weekend's hottest teams battle it out with a trip to the Grand Final on the line with #Fury vs @Th…
1064238272870842368,"RT @EsportsGears: LIVE NOW - @OpTicGaming make their Championship Sunday main stage debut against this weekend's Cinderella, @FireNIceEspor…"
1064177270313619456,"RT @EsportsGears: Less than an hour to go!

First up, a double dose of LATAM, with @FireNIceEsports vs @GGSimplicity on Main, and LATAM Kin…"
1064177237505818625,RT @EsportsGears: Just under 15 minutes left! Tune in now - https://t.co/6Rp7mmPuYq https://t.co/hBoIiWplQf
1064177199211864065,"RT @EsportsGears: Remaining teams and their charities:

@OpTicGaming - @BCRFcure
Fury - @LupusNC
@TeamReciprocity - @GamersOutreach
@GhostG…"
