id,text
1068627486991368192,"RT @Alex_Fuller6: *Anne turnsup to an easy trial*
Her brain:
Don’t say it 
Don’t say it
Don’t say it
Anne: Im a celebrity get me out of her…"
1067914294325579776,"RT @Nickelodeon: 💛 We are sad to share the news of the passing of Stephen Hillenburg, the creator of SpongeBob SquarePants. Today, we are o…"
1067912748598771712,"RT @isabeljonesx: john barrowman, nick knowles and harry redknapp are the most modest, humble gentlemen i have ever come across. respect #I…"
1067912100956262400,@Aliceburnetttxx @morganholmes_
1055212726102974465,Trip To Sweden: https://t.co/d9QXwMTKkN via @YouTube
1055079401187086337,"So my first video is currently uploading to YouTube, go ahead and subscribe :)"
1032692857088471040,RT @Itswiselearning: The things.. https://t.co/nEVUNf6rhR
1032641213109858304,RT @Itswiselearning: It takes 😊.. https://t.co/B968qpRXY2
970060420496199680,RT @MannyMua733: Follow spree if you retweet this video....? I think YES 😏
969359957903773696,My last tweet was 2014. I have a lot to catch up on.. #nosleepsquad
