id,text
1074852590213423104,"@shossy2 Of course Melania is worried about45, if he goes to jail loses all his assets, who’s going to pay for her plastic surgery’s and cloths etc."
1074826456314699776,"Hey 45!whats up with the stock market, still bragging about it."
1074825736945455107,"@MotherJones Such a whining baby, you get back what you give."
1074824515597680640,RT @waltmossberg: 1/ Some personal news:  I've decided to quit Facebook around the end of the year. I am doing this - after being on Facebo…
1074823346435514368,RT @shossy2: “Melania believes her husband’s claim that he’s being subjected to a ‘witch hunt’ and that there’s no truth to the allegations…
1074822976313278466,RT @leeleeb50: I am so fucking sick of seeing pictures of that assault rifle bimbo Barbie!
1074817168393392128,"Just changed channel to cnn, Chris Matthew needs to go."
1074816022807363585,"@Ocasio2018 Whining already, disgusting."
1074806824556126208,"RT @kylegriffin1: James Comey to reporters: ""At some point someone has to stand up and in the face of fear of Fox News, fear of their base,…"
1074806690594226177,"RT @SenSchumer: No temper tantrum will get @realDonaldTrump his wall.

The GOP has until Friday to figure out how to avoid a #TrumpShutdown…"
