id,text
1074781913687179264,"RT @BishopBarron: Watch and share the full ""Sunday Special"" interview with @benshapiro of @realDailyWire here! &gt;&gt; https://t.co/Fx12DNgVml h…"
1069834939397492737,I added a video to a @YouTube playlist https://t.co/B8nGWksjnC The 1960s in America: Crash Course US History #40
1069830662268616704,I added a video to a @YouTube playlist https://t.co/5N8aXec8oH Civil Rights and the 1950s: Crash Course US History #39
1021428770023100418,"RT @Pontifex: God wants us to call Him Father, with the trust of children who abandon themselves in the arms of the One who gave them life."
1013340492514451456,"RT @Pontifex: When we are firmly united to the God who loves and sustains us, we are able to withstand all life’s difficulties and challeng…"
1010935708717076480,@GabrielConte What's the best &amp; the worst thing(s) about married life? #GabsQandA
1003712073015193600,"RT @DLoesch: We give a half a billion taxpayer dollars a year to Planned Parenthood, a for profit business that donates those dollars almos…"
1001187880633491456,"@swiftsmidnights @niallisthebest1 @natataliie @NiallOfficial What difference does it make if she's a Republican? Doesn't mean she doesn't have the right to freedom of speech. Even if we disagree, we should fight always for freedom of speech. Don't limit someone's opinion because 'she's a republican'"
1001186979944587264,"RT @Pontifex: The mystery of the Blessed Trinity invites us to live in communion with one another, in love and in sharing: certain that whe…"
989958602973728768,RT @jordanbpeterson: No Safe Spaces: The Movie (trailer): Fall 2018 release: https://t.co/P3CHQQ21X1 https://t.co/YEDf3Z3MTF
