id,text
1075042907575468033,"RT @FortniteBR: The Block has updated with today's patch! #Fortnite

""Drop to The Block and explore the newest community creation! Get lost…"
1075011274654801923,RT @FortniteBR: Epic Games is being sued by Alfonso Ribeiro and Backpack Kid over the 'Fresh' and 'Floss' emotes in Fortnite (via @DotEspor…
1074844528203436033,@theodd1sout They probably just followed backed.  ¯\_(ツ)_/¯
1074781694325080064,@ALinkToTheCats @MrBeastYT Yeah I know I changed it. I was informed by a friend who spoke german lol
1073678968598028290,"RT @FortniteGame: Heya folks,

We messed up and rolled out the Infinity Blade overpowered / without good counters, especially in the end ga…"
1073398775203409921,@MrBeastYT In a video you should go to a random pewdiepie vid on try to read every single comment in the comment section
1072484681726263296,@FortniteGame https://t.co/IXhYeyNOkS
984866844556316672,( ͡° ͜ʖ ͡°)
984865839567593473,#NewProfilePic https://t.co/oNDrKcACck
984792282082828289,@Vurfi Kill me
