id,text
880808535025631232,"Happy Canada Day, everybody, welcome to the Country Hills branch, grab some snacks. @chris_leitch6 @sandytam39 @RussAnderson_TD @TejaCfo https://t.co/liUuJKokey"
876206379555368960,RT @TejaCfo: #ImDigitalReady at #countryhills focusing on TD mobile deposits this Saturday👌🏼 @AndrewP_TD @Courtney_Libbey @chris_leitch6 @R…
875188817992368128,"@reanne_mandin @_chaudang_ @chris_leitch6 @TejaCfo Haha, everyone is dancing, what is Emmanuel doing?"
874471631891988480,Have fun at Schanks @TDCT205 @andrewroohoo @samyungks https://t.co/ptTiUN2gL8
874467361620844545,"RT @AaronS80: Let's have some fun shall we! #calnorth4tw #floatingheadlnat
@Courtney_Libbey @lnat54 https://t.co/iz8kcoPuxi"
870759792960184320,RT @_chaudang_: Lin's last day at #CountryHills.#Hamptons lucky to have you! We'll miss you! All the best!@chris_leitch6 @sandytam39 https:…
870759267107618816,"RT @TejaCfo: Having fun for ""Flannel day""! All clients wearing flannel got a Tims gift card today!@chris_leitch6 @sandytam39 @_chaudang_ @C…"
870122999709540352,"RT @TejaCfo: 🛑 the 🌎at #countryhills branch to go over our ""daily focus"" for the day!👍🏼@sandytam39 @_chaudang_ @chris_leitch6 #HTWW1#dailyf…"
868945081063030785,"Thank you for the hard working, Sunday team! I now learnt how to tweet. 😀@sandytam39 @chris_leitch6  @RussAnderson_TD https://t.co/T8Z67BkK8S"
851741366161780736,"@monisha_parmar Thanks, Monisha. Hope you had a great vacation in Mexico."
