id,text
1075093371406962688,MOHAMMED FIGHTING WITH BADR ATEEJ..!!!!!!!!!!!!!! https://t.co/sCQd0BRdma via @YouTube
1075093226095284224,سمو الشيخ حمدان (فزاع) و الهدايا اللي حصلها من البنية.. ❤️ https://t.co/G45e5ccGs6 via @YouTube
1075093088522174464,ولي عهد دبي بين الاف المشاركين في تحدي ساندستورم https://t.co/RlsqS0A0mE via @YouTube
1075092846833745920,لقاء الشيخ حمدان بن محمد استعدادا لمشاركته في كأس صاحب السمو الشيخ محمد ... https://t.co/PndBLEuce3 via @YouTube
1075092357488480256,Sheikh Hamdan (Fazza) NAS Sports Dubai (26/06/2015) https://t.co/wgwbN0ylVH via @YouTube
1075091963274256384,Fazza - Patient 💋💕 https://t.co/mZXJt4voea via @YouTube
1075091778078937091,"VLOG DE VIAJE  Cosas que hacer en TORONTO, CANADÁ - Día 1: Centro de Tor... https://t.co/TuDtHAOUMu via @YouTube"
1075091740128886786,11 Best Places to Live in Canada https://t.co/kOG7jqX1W4 via @YouTube
1075091616933834754,FIU College of Business Student Tour Video https://t.co/IE8tIHVJAw via @YouTube
1075091557873803264,FIU College of Business https://t.co/PnBU2jtv44 via @YouTube
