id,text
1074761307285610501,Kan noen trykke control alt delete på han derre Donald Trump(eten)? Det låter surt i monitor!
992809537953501184,Hva skjer med jura til Sandra Lyng Haugen nå som hun er gravid? Snakker vi trippel G lizm?
849651753083691008,I failed to beat #braap with a time of 0:35.764 playing #madskillsmx2 https://t.co/PE4wVV38cK
654326789741936641,Hallllden! Ille bra å jobbe litt her da! Få se te å eta ei purke når du er her! #pantarei https://t.co/AsqrIBC8AT
650052534267195394,#ungeferrari @musikkflekken 🔥🔥🔥🔥🔥🔥🔥🔥💲💲💲💲💲 https://t.co/yD5COMo4e5
640524535184404480,Ti år siden denne kroppen løp en mil sist! Men jaggu klarte den det !  Gåstol imorgen antagelig !!… https://t.co/12iaGigKiM
639771221085786112,Husk å stream deg inn i helga med denne da! God fredda!!… https://t.co/0aF4GBMrUa
636426821941239808,"Spillt alt og produsert denne nydelige saken, slippes snart overalt hvor du strømmer musikk!… https://t.co/gOG92zWBZi"
635914137000890368,Førstkommende torsdag kan du lytte til jaytexranger og @oralbee spytte 🔥🔥🔥 om#tinder på beatsa mine… https://t.co/aCGcN3qxdv
635464797304266752,Sterk åpning av konserthøsten med @iffyorbit ! Takk for fet konsert ! Knall kveld på jobb igår i… https://t.co/08Y9JvaiRO
