id,text
1074664327934693376,@belarellaaa If he crushed your confidence I'll crush his knee caps.
1074664145742553088,"RT @classiclowlife: They banned the song
 “baby it’s cold outside” 

PC culture has gone too far! 

I demand all soccer moms and hipsters b…"
1074664090247675905,"RT @s8n: Santa doesn’t enjoy his job because it brings happiness to children, he enjoys it because he gets free food."
1000833254688206848,@AskPlayStation I need help getting my back up codes and your system keeps crashing on me. You need to remove the 2sv and allow any player to sign in on one try.
969801932746272768,@Bella4Dawn @NoBigGovDuh @GUHSDPIO @SDSOSantee @WHHSWolfpack @SDSheriff Join the military where you get shot at in the middle East serving your contry....can't say nothing keep your mouth shut. #truth
969801526058217472,@GUHSDPIO @SDSOSantee @WHHSWolfpack @SDSheriff ......
969800784236855296,@jorgeacastro68 @MoiWaifu @SDSheriff @CityofSantee @WHHSWolfpack @GUHSDTweet @SDSOSantee He was shot in the ass like forest gump.....
969800667769352193,@SDSheriff @GUHSDPIO @CityofSantee @WHHSWolfpack @GUHSDTweet @SDSOSantee ...
750957481304535041,https://t.co/07sJ3Crp0O
740212663708356608,Looks like she had her period standing up https://t.co/PwnY8jIaLW
