id,text
1073307871780184070,"@TheRealDaytime Loni looked so good today! Loved your hair &amp; dress, you're looking fabulous!"
1070133615244267520,RT to #VoiceSaveDeAndre https://t.co/bT332kCk3Z
1070130886555959296,"@SandyReddMusic You should still be there, IMHO. Good luck with whatever you do, SandyRedd!"
1067597832381767680,RT @IAMJHUD: #VoiceSaveDeAndre
1067597180029022209,@NBCTheVoice @Xfinity #voicesavedeandre
1065061115615502336,RT @SandyReddMusic: #VoiceSaveSandyRedd
1065061094937497600,RT @IAMJHUD: I mean !!!! How can you not be a believer !!!! I don’t know what to say !!! Yes !!! Sandy !!!! #Teamjhud @NBCTheVoice  #Voices…
1065060940834635776,RT @neptunexonat: #VoiceSaveSandyRedd PLEASE SAVE MY SISSSSSS
1065060917333975040,RT @Amazin1081: Sandy deserves to be saved so talented and gifted💖💖💖#VoiceSavesandyredd
1065060899516555264,"RT @ThyPunchy: Honestly, I'm disappointed that she is in the bottom three. Sandy is better than Lynnea. Please vote for her. #VoiceSaveSand…"
