id,text
1075035933798555648,I natt drømte jeg at jeg hørte Fennesz’ «Endless Summer» for første gang.
1074780865920671744,RT @ThatDamnFireman: Big fight right on the main street. No one seemed to care. This is why I don't live in the big city. https://t.co/Ls2A…
1074380404059189251,"Vet du hva ""klassisk teknikk"" på langrenn er? https://t.co/cAueREf6Yn"
1073963199467323394,Deez nuts roasting on an open fire.
1073671285551583232,RT @BrianKeene: Now *that's* a good dog. https://t.co/9XwPyBoWNx
1073300899995549703,Torsdagstips: Den enormt bra filmen «Bone Tomahawk» ligger på HBO.
1073253244145668108,@e_ellectrick Trondheim Rocks holdes i Trondheim og Tons of Rock holdes i Tons.
1073252978054836226,"I 2019 skal jeg banne mindre, for det er ikke akkurat pent med stygt språk."
1073188561913028609,27.12.2018 https://t.co/Btm1nE5DKg
1072975752801472513,"«Kirkene nedi her er så kolossale og gir så mange inntrykk, at jeg nå har bestilt meg en 3-roms på Hamar Vest etter å ha vært her i femten minutter» - en kompis på tur i Vatikanstaten"
