id,text
1074760217836052487,@kinganiii This is so deep
1074034319239376896,@speedademon235 @kinganiii Ahh So cute
1070466348575277056,"@SoftKoreYT Yes,this makes sense but how do we solve the flat earther problem?"
1070463667819421696,"@atozy Every time again.
Whats wrong with your face😂😂 https://t.co/sLfwcDOrLJ"
1070438831277703168,@darkxdom Cant give u my No skin its to rare.
1070332479003865089,"@XarocLP  Hi Xaroc ich bin schon länger dabei hab dich durch Scrap Mechanik entdeckt und ich finde deine Videos sind richtig gut aber oftmals eintönig und das stört mich manchmal wäre schön wenn du daran arbeiten würdest,mach weiter so und hör nicht auf weiter Videos zu machen."
802454506805948417,GET A FREE PS4 PRO HERE: https://t.co/G3F3ehQY31
798739768909688833,"RT @TheProGamerJay: FREE PS4 PRO
RETWEET + FOLLOW 
ENTER HERE:
https://t.co/ONHQu0h4vy"
798739701746302976,@TheProGamerJay so cool
798739410430947328,@TheProGamerJay  you are the best
