id,text
1074771338647273473,@AlHadath حيوانات واجتموا
1072917175705460736,@shumukh5555 @sala7_80ksa طز
1065015088472616960,@IraqandAlgeria وين تجاهد بالسرير
1065013372675084288,@aljamjama @AJArabic ال خريان
1065010680259067905,@sala7_80ksa نعم سليل ال سلول
1064995148747235330,@AjelNews24 ابشركم بغضب رب العباد
1064995020858642432,@amoosh16 احب اطمنك يمناه ممدودة ليشحد الجزية لابو ايفانكا ولي نعمته
1064994791765786630,@alekhbariyatv خاين الحرمين سليل ال سلول
1064994702552907776,"@ela__111 كفر بواح وهتك للاعراض وموالاة الكفار 
حفيد ال سلول"
1064994530481582080,@sala7_80ksa سليل ال سلول
