id,text
1075055101595791360,@EmmanuelMacron En voyant les sondages... https://t.co/n2CnLUlN2i
1074776173295624193,@yanis6z Surtout n’arrête pas...Je donnerais cher pour revoir ce film la première fois.
1074764089107324928,@SchnockRevue https://t.co/BN0aIvP371
1074711435350036485,@VictorSinclair3 « Nous avons été trop intelligents et trop subtils pour tous ces blair... les Français » https://t.co/Hm0ZKmiQEZ
1074710116476305408,"@Corse_Matin Et la taxe Goffa , c’est pour quand? https://t.co/9DaFxfelpr"
1074696524272148487,@leJDD Et si ma tante en avait...? https://t.co/a9SdvQ58Ys
1074367426064728066,@EmmanuelMacron https://t.co/bT6YfjVBuL
1074354635408883712,"@BFMTV La hausse de la baisse s’est accélérée dans son ralentissement...
https://t.co/wZjwUMzMtL"
1066384749831340032,@CNEWS Heu... Du gaz moutarde? https://t.co/PwzKx1ehJa
1066384208262778880,@vincentgri Le journaliste ne doit pas savoir ce qu’est le gaz moutarde...
