id,text
1074513528269275139,A rower pilots a #boat as #seagulls fly over the waters of the #river #Yamuna in New Delhi #India #photojournalism #photooftheday @NatGeoPhotos @GettyReportage @instagram @NatGeoTravel @natgeo @Discovery https://t.co/nkIff39905
1074260225799131137,"Union Minister Smriti Irani, Delhi BJP President Manoj Tiwari, MoS Parliamentary Affairs Vijay Goel and  other BJP leaders during Mahila Hunkar Rally at Ramlila Maidan in New Delhi #India #BJPMahilaHunkarRally #photojournalism #Delhi @BJP4Delhi @BJP4India @instagram #Rally https://t.co/I9jOfvRTWT"
1073542381889298433,"Members of District Disaster Management Authority ,Delhi Fire service and Delhi Police take part in the mock drill  at Oberoi Maidens Hotel in New Delhi #India #photojournalism @NatGeoPhotos @NatGeoTravel @instagram @GettyImagesNews @GettyReportage #YourShot #lonelyplanet #delhi https://t.co/IAwPUSbeUu"
1072792583758327808,"RT @gersende75: Road blockade near #Montpellier
#YellowVest #FranceProtests #GiletsJaunes 

@AFPphoto by Pascal Guyot https://t.co/3ILlZJyJ…"
1071753530699104256,"#Vehicles  seen stuck in  massive #traffic jam due to VHP Dharam Sabha , in New Delhi #India #photojournalism #DELHI #Delhi @instagram @GettyImagesNews @NatGeoPhotos #DharamSabha @Dfordelhi @GettyReportage @GettyImages https://t.co/S2N7IJZIpx"
1070920275984834561,RT @NatGeoPhotos: Today we announced the winners of the 2018 National Geographic Photo Contest! This stunning aerial image was the grand pr…
1070183565739073537,"RT @NatGeoPhotos: Happy #InternationalCheetahDay from Malaika and her cubs. ""She is well known in Maasai Mara reservation in Kenya,"" writes…"
1069576784562348032,#Workers are #silhouetted during #Sunset in New Delhi #photojournalism #gettyimages #reportage #Delhi #sunset #picoftheday #YourShot @NatGeoPhotos @instagram https://t.co/CGPDltjFl7
1067979133387444224,"RT @AureliaBAILLY: A selection of @AFPphoto Pictures of the Year 2018   #AFP https://t.co/OkXuX4CMs5
#photojournalism 
@mohmdabed
@JimWatso…"
1067401668969619456,#Visitors #throng during last day of the 38th India International Trade Fair (IITF) at Pragati Maidan in New Delhi #India #photojournalism #iitf2018 #Delhi #natgeo @instagram @NatGeoPhotos @NatGeoTravel #gettyimages #reportage #photography #picoftheday https://t.co/8sFtyXafIO
