id,text
1070064401921818624,RT @gregoryhetzer: I want to send a tweet out to a man that gave up all !! His perseverance and love for his family and country is profound…
1070064240281686016,RT @gregoryhetzer: EVEN I !! say this to me today !! WHY TODAY !! What relict is so important to be placed in the vault of the Washington m…
1070047562177105921,It's about to get real.#GITMO
1069599820086677505,"RT @_LoveLike_JESUS: .
I’M NOT ASHAMED TO SAY
      THAT I NEED JESUS
             “EVERYDAY""

 -- Retweet if you Agree --
."
1068245480486944772,It's just about go time
1064643774003978242,Are you prepared for what's coming
1060942316221988865,@realDonaldTrump Drain the frickin swamp
1060293837002887168,@Acosta you are a disgrace to this country you MORON
1059865551202328576,Are you voting for freedom or socialism today?
1059766941152350208,RED TSUNAMI TODAY
