id,text
1019430461343322112,@lids s😏
1012028464088666112,"RT @FOXSoccer: What. Drama.

Thank you Iran and Morocco for making Group B much more interesting than anyone could have imagined. https://t…"
966225894468501509,RT @ForTheWin: When do the Olympics end? https://t.co/D6C6tdE1th https://t.co/vUwmx1uGwV
966166830376042496,RT @PeoriaFire: Congratulations to Peoria Firefighter Steven Gunn who received the Medal of Valor from President Trump this afternoon. http…
798929776375271424,@USATODAYsports
782302051178991616,@azcentral
768343786866872320,@Sports_HQ
667798213055766528,.@Mayhem said I have to tweet this for my vote to count in #MayhemTweetOff. Go ASU! #DeflateArizona https://t.co/iy4yFOfyw9
648961260311044097,"Please Do No Let, And Loo Loan Loo Loo Loo Loan Lop"
644582157151678464,@EconBizFin
