id,text
1075052163091652618,Общайтесь с Vyacheslav и другими интересными людьми поблизости на Badoo! https://t.co/VQk14K2A0a https://t.co/XBi27DYJhh
1074281247676030977,"Только что опубликовано фото @ Irkutsk, Russia https://t.co/zYXcL2Bwrq"
1074279667992014848,"#wtf @ Irkutsk, Russia https://t.co/KPjgK8lTxN"
1074279414756716545,#fitness @ United States https://t.co/xDf7flVgGT
1073956347358707713,Общайтесь с Vyacheslav и другими интересными людьми поблизости на Badoo! https://t.co/VQk14K2A0a https://t.co/vMhcHcYRVQ
1073513096075980801,"Только что опубликовано фото @ Irkutsk, Russia https://t.co/dtVN3VjjP7"
1060871021635481600,"#fitness @ Irkutsk, Russia https://t.co/rOHFh8cB7I"
1058665731959808000,"#fitness Этот скот надо мной издевается 😹 @ Irkutsk, Russia https://t.co/rYfa2J6hcf"
1056590754976591877,"#fitness #fizruk @ Irkutsk, Russia https://t.co/hZTdxfZUaZ"
1056590594586353666,"#fitness #fizruk @ Irkutsk, Russia https://t.co/LlwxoS8KQF"
