id,text
1073697244522704896,"@Melvingordon25 This is awesome!  Though injury is no reason to apologize.  Now, @Kareemhunt7 should definitely apologize for screwing over his owners."
1072310826592288769,RT @BravesRetail: Looking for the perfect gift for the ultimate @Braves fan? RT and follow us for a chance to win this @ronaldacunajr24 Uni…
1071202515218259968,@NFL @bakermayfield @saquon @ChrisWesseling @CalvinRidley1
1070319573495414785,"Turned on CNN thinking politics would be pushed aside for this special day.... of course, @DanaBashCNN and CNN colleagues politicize it and make it about Trump."
1069250907433517057,"@domer945 @JayBarker7 If Georgia played Oklahoma,  Notre Dame, or Ohio State.... where would your moneyline bet be? #RTR"
1063835841989148672,"@soonerfbfans I guess if I was a Sooners fan and didn’t have a win against a ranked opponent, yeah... it would be nice to be one and done in a 16-team bracket."
1062486900680859649,@Braves Called it! https://t.co/Zm1HVwOqug
1057062112885985280,I cast my Heisman ballot for #TuaTagovailoa! Click the player you think deserves the Heisman House vote. (📍@NissanUSA)
1053813924422918144,I cast my Heisman ballot for #TuaTagovailoa! Click the player you think deserves the Heisman House vote. (📍@NissanUSA)
1049636469869043712,@Braves excelled this year because of Snitker.  No doubt he will be NL manager of the year. Great read from 2017 - https://t.co/5pHIZYjdqZ
