id,text
1074829898978476033,RT @Oll1x: @KEEMSTAR https://t.co/6q4j7rXsq7
1074829692560072704,RT @HeremaiaLogan: @KEEMSTAR Morning gnome
1074828546940428288,"RT @CodeNamePizza: I don't know how people are complaining.
We have 5 Zombies maps to play on a game that came out 2 months ago and 2 of th…"
1074492006129459200,"RT @JCbackfire: @KEEMSTAR boy, do I got a story for you..."
1074373593067270144,Check out my broadcast from my PlayStation 4! #PS4live (Call of Duty®: Black Ops 4)  live at https://t.co/uwKKyl1g6H
1074121124038901760,"RT @CodeNamePizza: Hey @Treyarch ,
Please Please Add Killing Time as an Elixir in BO4.
How many RTs to make this 100%.
If we get 1000 is th…"
1074120433316679681,RT @markiplier: Our exodus to the East to the mythical town of Cincinnatus has begun. I fear for our safety on the long hard journey ahead…
1074120040419549186,RT @MrTLexify: https://t.co/8yVagl4F4h
1073854294770634752,"RT @TheSmithPlays: A year ago today, season 2 released. https://t.co/YSoFoJtbto"
1073400460885712898,@lixus16 @LukeIsSecret @JaidenAnimation https://t.co/pCUT4mcPfI
