id,text
1075099174830518272,"Wake up hustlers, let's get this pineapple"
1075098408795455493,@actualkiwihours @I_is_cheesekek @WintherWaffle @tiagowastaken More like incelroar LOL
1075097608790663168,Just got another victory Royale! Updating my bio!
1075096599880237057,@I_is_cheesekek @actualkiwihours @WintherWaffle @tiagowastaken I'll smash you
1075087678243307521,"@WintherWaffle @tiagowastaken You're a man, look in your pants"
1075086942708981760,@tiagowastaken @WintherWaffle If they transition they're no longer men
1075086463379877889,@tiagowastaken @WintherWaffle And that's mostly transgender people who are full transitioned
1075086262602788864,"@WintherWaffle @tiagowastaken That's all they are before transitioning. I'm not saying they can't be that, they can be what they want. I just don't find that attractive and I don't know how other people do."
1075086008331526145,@TheKatyLawson I was trying to insult you
1075085809685012481,"@WintherWaffle @tiagowastaken No, I'm very open minded, I just don't find them attractive"
