id,text
1074887568741818369,@localfairlys Of course and I mean it sincerely mate
1074887069611233282,@localfairlys Hey feel free to hmu whenever I'm always here for you buddie 💕
1074886877226958850,@thxhypemp3 That is so not true my friend
1074886570824687617,Wow okay grrr * hella fangirl
1074886419712278528,"Why is TØP so perfect, yeah I might be a hella gang irk but seriously: where are you going to find two cute smiles, two strong amazing personalities, two amazingly talented souls with a drive and passion for music and also did we mention they're besties? Tehe love our bois"
1074885566779588609,"Quick rant? Okay? Cool so you guys probably think I'm annoying and hate me but that's cool, I'm not a huge social media person yet here I am.... I thought this is a place I can be real and yeah shit so sorry but this probably won't be the last dumb rant out there ❤️💕love y'all"
1074884348128714752,Okay well I'm not a huge YouTuber but I just watched three hours of Shane Dawson's conspiracies and now I can't sleep so.... Moment of TØP: Josh exercises; Josh Run- Josh makes a joke; Josh Pun- Josh in a bounce house; Josh Fun- Josh as a sniper; Josh Gun- I love you all hmu
1074872699833454594,"@localfairlys It would be the day I die, because everything else in life would be so much of a disappointment after that"
1074872110152065025,RT @__bandito: HE https://t.co/HIWAfnXElB
1074853017810296833,@__bandito Girl do it
