id,text
1074972354093178880,"Propagande eleki degré ba photos ya candidat ekomi tii na corbillard Tozo yeba te Akufi to ba voter ye? Nzambe tozo kende wapi
#RDC #ceni #Lamuka"
1074785415620689921,"RT @KONAMIFR: ✨🎄🎁 CONCOURS 1 🎁🎄✨

On commence cette semaine de folie #1jour1Concours avec une PS4 Pro &amp; un jeu #PES2019 à gagner!!

Pour pa…"
1074782859087486982,"Le respect ne vit plus dans ce monde, mdr https://t.co/b3pXJx7ZfW"
1074782080800878592,RT @Lacrim_Officiel: Nouvel album le 8 février 2019 🐅🐅🐅 #Lacrim https://t.co/JcoLLaDXh3
1074679099937959936,"*_Les filles minces qui font footing chaque matin là, sincèrement qu'est ce que vous essayez de perdre au juste?.? Votre vie*?😂😂😂"
1074415978161860608,"2018 doit finir pardon,eh https://t.co/aWXqDxg35U"
1073687917996986368,"RT @Dzorienter: L'iphone 6s rien à dire archi coriace, des chutes de face à pleine vitesse contre le carrelage sans préavis ni amortisseurs…"
1073687814066327554,RT @YassEncore: Team puceau y a qui la
1073674426795876352,"RT @Footballogue: [#Mercato🔁] Selon @CmdotCom_En, Marotta a fait de Luka Modrić🇭🇷 sa priorité de recrutement pour l’Inter Milan. https://t.…"
1073666463574253568,"Machine à voter ou pas, on atten votre position https://t.co/CSwCT9SfbT"
