id,text
1075011656541863938,"RT @negishishamo2: 久しぶりにスズキディーラー行った

僕『ジムニー売れてる?』
営業『超売れてる』
僕『現行ジムニー安すぎね?競合車皆無やん』
営『これは山村や田舎で必需品なんです。新しくなったからって無責任に値上げはできない』
僕『利益出るの?』
営業『モ…"
1074960711879516161,"RT @5eloNR0: 皆様にお願い

時折｢行方不明、拡散希望｣というツイートが流れてますが、必ず
｢警察署の電話番号｣
｢捜索願番号｣
が書かれたもののみ拡散願います。

探し主はDV夫かも知れません
ストーカーかも知れません
殺人鬼かも知れません

必ず！確認して下さい"
1074556870751248390,"RT @heartia2: 海外公式から
天才すぎる・・・ https://t.co/dNYstcuTwa"
1074516066829664256,RT @KoubakoTone: 鳳翔さん https://t.co/JZcCPvSl06
1074515782363635713,RT @rusted_coil: そういえば遅ればせながら今月号のちゃお買ったらデヴィ夫人シールつき！が謎すぎるんだけど https://t.co/NzMWrs1iW6
1074514965250244609,RT @Emikobot: 犬の殺処分ゼロを謳った広島のピースワンコジャパンにふるさと納税が殺到してるけど3億円以上が使途不明、劣悪な環境で犬に予防接種すらせず、虐待の実名告発が相次ぎ、ついに書類送検された件、殺処分を逃れてせっかく助かった犬が、生き地獄よりもひどい非業の死を遂…
1074514736815865857,"RT @M_091_M: 2年前のZIP！のインタビューより。ゴジラの形態変化について
#シンゴジラ https://t.co/PSfO3rFhrN"
1074513508014817280,RT @riko3_: 推していて疲れを感じるオタク https://t.co/p3D2hqERXM
1074513360383700992,"RT @Wr7HnFnp8XNroaz: 24歳女子が仮面ライダージオウの変身ベルトを買った話

#仮面ライダージオウ 
#漫画
#特撮好きと繋がりたい https://t.co/VOHvE4MMlU"
1074480040698568704,"RT @BenjaminNEChong: 博士課程の学生が帰省中にISILの戦闘に巻き込まれ、隠れ家で鳴り響く銃声に怯えながら研究室の先生に「このままじゃ論文が終わらない！」ってメッセージを送ったら先生が傭兵を派遣してくれた件
https://t.co/puIhNF6J1U @…"
