id,text
996997004612927488,CB500 very clean nice machine 😉😉 https://t.co/owMCZOKxb1
927093227060113408,@MatchroomBoxing @EddieHearn this has to happen at Wembley early next year with @anthonyfjoshua @BronzeBomber and @DillianWhyte on undercard with Parker
881553800284299264,@anthonyfjoshua Big lad AJ like 👊🏻👊🏻
880386091534217217,@paulsiddle Yes this weekend lol
880364798436937728,What a weekend ☀️☀️🍻🍻 https://t.co/mApFLE0VtG
875053348080287744,Me best mate bless a 😘😘 https://t.co/DwquNagydB
868763936224575489,Few signings needed for next season https://t.co/fEOgbk8WSk
825433961463701504,Bit memorabilia in the kitchen #Anthony Joshua signed glove and my fighting gloves 👊🏻👊🏻 https://t.co/eeA1amKJ5K
785568296309579776,RT @goal: Are England right to drop Rooney? https://t.co/xqGS9MtNW4 https://t.co/WemkagNAyI
785567993669574656,@BoxingNewsED can he win all the heavy weight belts ??
