id,text
1069360303572426753,Asi jsem vystřízlivěl tak jsem se vzbudil
1065428321482215425,"RT @LowLuisa: Zdravím všetkých priateľov hiphopovej muziky, na známosť sa dáva, že zajtra o 19tej hodine vychádza posledný track zo CBG Štv…"
1065428103911088129,"RT @TomKlicnik: Požádal jsem neteř, aby mi podala telefonní seznam.
Vysmála se mi, že jsem staromódní a podala mi svůj telefon.
Výsledek? P…"
1063469907067760642,RT @ssinai91: Tak uz jsem poridil ten objektiv a takhle to vypada. Myslim ze hezu. https://t.co/opzX5oE2oi
1063378969687453696,"Myho kamose v Bruselu podělali, bacha na peněženky lidi, hlavně v barech v centru"
1063367426870583296,"RT @NOBODYLISTEN1: Musim se přiznat 🙈 Mám teď takovou novou zábavu. Jdu na profil Babiše, rozkliknu si komentáře a hledam takový ty “Jsme s…"
1063367355684872192,"RT @AndrejBabis: Na dveře bytu v Ženevě, kde spí můj syn Andrej, bouchají teď nějací lidé. Volala mi jeho vyděšená matka. Mezi českými novi…"
1063367294338912257,RT @ssinai91: “Jestli si myslis ze si real............ Tak si to mysli no.” - Matro da Vinci
1062785841725091840,"Přehlednější letiště než Charleroi není, než najdeš cestu ven, tak ti třeba ujede bus"
733531205728014336,RT @NHL: Joe Pawvelski's holding down the fort. #StanleyCup https://t.co/B6L0gaG5d4
