id,text
486642148394029056,"Zee Germans raped it all the way till the end. 
P.S. A moment of silence for those who had Julio Caesar in their fantasy soccer"
480613386854883328,"You know if that if you skinned Larry King &amp; ironed out his leather, you could make enough coats to give 1 to every poor child in America"
426619355795685376,"I was on a goosebumps spree until I stopped playing Highway songs. Pathaka guddi-Arr's version,Fuckin variations! GODDAMN #ARR DEEPEST BOW!"
419988189244182529,The world listens to you. You're a source of inspiration to Zillions-o-people.Your music is the Velvet Eden. Its the Rahmaniacs day! #HBDARR
369570323173097472,"After joining MS, I completely realize how much one misses on getting into a job.
#Auburnfever #Aubie"
369239754627244033,"I found this gurl at a music store who told ""learning guitar is like more than how much I take care-o-my beauty"". I just bowed."
368259511259508737,"In India you need a mosquito repellant. In the US, a bed-bug repellant. #HolyBugs !"
367856167579836416,"Coz if we cheer., we've the tendency to finish it before than the usual. #high"
367023119157829633,"Happy 126th birthday Erwin Schrodinger! Your quantum theory,the wave equation etc., are none other than a fascination to me."
366808048901177345,Happy Birthday Pooja! I dun wanna add 'belated' coz I regret forgetting it! Wishing you a wonderful life.
