id,text
1074819730886791168,RT @ObongRoviel: Shit can bring out your hidden talent 😭😂😂 https://t.co/B7ZzP1mY3t
1074815330155941889,"RT @trvisXX: WE BACK ON ROAD !! ASTROWORLD TOUR LEG 2 ON SALE  THIS THURSDAY 10AM LOCAL TIME
AMEX PRESALE TOMORROW 
FAN/MERCH PRESALE WEDNE…"
1074815083291795462,"RT @PattyAmaka: When he's sucking one of your bress, suck the other one. Don't be a boring girlfriend 🙄"
1074561830842970117,"RT @ShawnTomi__: Rt and Drop your birth month. 

Me: August 15 👇🏾👇🏾🌚

Ps: Follow anyone who shares a similar month with you and make sure y…"
1074560752349052928,At least he didn't mess up 😂😂. https://t.co/bJixJ7Pqc1
1074393340379045888,"RT @fayvee_sv: This life na to chop am 
No go jonze 😎"
1074089066960961541,@fatmoshhh @still_somi Ladies😂😂..mad o
1073856850523774976,RT @De_SBG: If you have attended 100 wedding and you are still single you are not different from the canopies https://t.co/rWdfhP6Md5
1073849532633501696,RT @Gaeist: Ludacris doesn’t know that he is on 99% of the walls of African barbershops 😂😂.
1073849124771037185,"RT @TISANI8: Want Success in this world, work hard pray and trust God"
