id,text
1074964539735605248,RT @conangray: i hate being a texan cuz my dating pool is so small i only have 2 cousins
1074960023111884800,"RT @josahandii: worms really be out here like

         S"
1074909649877458945,"RT @voiidmarvel: Tom Hiddleston did NOT block me ,,
graphic design is my passion 😤👊🏼"
1074909647281082369,RT @voiidmarvel: I BREATHED- https://t.co/4dHkvLL0LV
1074908956991008768,RT @nothaught: blake lively in suits rt to save a life https://t.co/mqmd1Csy0J
1074903926552518657,@PrettyMuchIt catch me using all my christmas money
1074901738639917056,y’all my only source of legitimate entertainment @PrettyMuchIt hit 300k subscribers i am so proud my boys are growing up so fast🤧💘💖
1074899187941105671,@imari @DoorDash this tweet is gonna go viral and they’ll either give you a voucher or a share of the company idk we’ll see
1074897773189685248,"RT @TeamDowney1965: Robert Downey Jr's Facebook via! #RDJFACEBOOK

Teach 'em the sass young. https://t.co/fAQclUkJ9t"
1074897554297413633,RT @elijahdaniel: 𝐂𝐄𝐒𝐒𝐏𝐎𝐎𝐋 𝐎𝐅 𝐄𝐕𝐈𝐋
