id,text
1075039799717847042,RT @AlexMatthias_12: If you is can and you would it could be that sometimes but it not does that right?
1074866837039603712,my dms from 2015 really were wild https://t.co/Z0WWIXliLj
1074757968598568960,"""vAcCiNaTiOnS"" https://t.co/jHTWV1HL0E"
1074457596747231232,listen i love the woman but whenever i see ruth bader ginsburg's name i think it says darth vader
1074051023331831808,outdoorsy store employees are wild man i just went to the north face store and as i was being cashed out i pointed out a really big spider that i saw on the cash register and the guy just picked it up by one of its legs and let it walk on his hand as he continued to cash me out
1074016132997238785,open for a surprise https://t.co/v6Lor010eZ
1074015770244472832,@gaydad3629 still relevant
1073806433903435776,my last brain cell trying to raise my math grade from a 10% to a 98% by the end of the semester https://t.co/qNMeI4JuBQ
1073067526521802757,i literally read all of the harry potter books in less than two weeks at the age of seven and now i have to read simple sentences multiple times to understand a single phrase from them
1072088647778885632,...i have no recollection of posting this
