id,text
1066643075647315968,"RT @kero_alfons: الذهب لايصدأ أبدآ 🧡
#شيكابلا https://t.co/9OXUns4A3h"
1066635085892472833,@Lolosheriff اسمر 🎩
1045916508440940544,@ReyadaCom الجمهور المصري اكيد
1043073119492231168,#صورة_ملف_شخصي_جديدة https://t.co/5xp0zOogv0
926460050977144833,@Muwk20 كلامك صح
922828226191380482,@hodahoda75015 حليم دا العشق
803693769866493952,@Mo7aMeD_KH1911 @esraa_ashraaf. انا زمالكاوي بردو
803692184658579456,الزمالك شوط اول ولا حولا والا قوه شوط تاني زفت https://t.co/BRMvrwy6qB
803691486336393216,الزمالك مستوي في النازل لازم مدرب اجنبي.
803354029699072003,@dmcsportstv. ايمن اشرف. هو افضل للزمالك يا كبتن هيما
