id,text
1075052803637297153,@ratnidewi25 No ratnoo
1074993271745572865,@Masvanjaya https://t.co/pFcyNWT7Es
1074990810469302272,@pilaala @selphieusagi Ini cowok pada drop cv kesitu mba 😂
1074985639219613696,RT @PicturesFoIder: https://t.co/814jU2dp6o
1074978464422227968,Mau cari makan aja malesnya nglebihin cari pacar lagi.
1074937717073469441,Semakin kesini semakin aneh kelakuan orang orang yang mabok agama. Asli! https://t.co/F6EMs4SlXP
1074930192764755969,"""Bodo amat yaaaaanng"" adalah sebaik baiknya pemersatu umat."
1074928830526046208,@Chamidsyae_ @wardhana__ @ytmbl aku juga
1074902479081431040,"RT @negabod: pasangan kayak gini ini sebetulnya wajar, kan?! dua sejoli berlawanan jenis memadu asmara.

kalian meributkan hanya karena pri…"
1074834829399617536,"Ini semacam pernyataan yg bikin roller coaster tentang inginnya iklim yang kondusif. Setelah kemarin sempat bikin adem adanya gencatan trade war, kali ini panas lagi karena akan ada kemungkinan The Fed naik. Emang DT paling bisa bikin panik wkwk 😁 https://t.co/qANKjXziN7"
