id,text
1066872346454056960,RT @Pontifex: None of us can survive without mercy. We all have need for forgiveness.
1066872196587433984,"RT @Jogja24Jam: Puluhan ribu burung penuhi daerah Malioboro Yogyakarta. Burung-burung itu jenis layang-layang Asia. Terbang dari Rusia, Sib…"
1045332510077583361,"DAD,
A daugther's first love ❤ https://t.co/eXwnYAGJrH"
1045331342559522816,"Dad, i may find my prince, but you will always be my king - repost
•
Terima kasih restumu ❤ https://t.co/atxzSIGdzh"
1045328388746072066,"Dad, wherever you are, you are gone but you will be never forgotten - Conrad Hall
•
•
Selamat ulang tahun, Pak. Bahagia di surga bersama para malaikat 👼
•
27.09.1957 - 16.09.2018 https://t.co/fI1e6MtJ03"
1039522809452449792,"Foto gk ada yg bener. Isinya becandaan mulu.
Piye to mas agustinus_bdhu 😌

Dan dibalik foto ini, si mbak lagi usaha mau jinjit-jinjit 👣

Untung muka masih bisa dikontrol… https://t.co/zGdaINevyG"
1039519382681145344,"Sebelas ❤
•
•
kencanadecoration 
mikeup_kencana 
alvapoto 
•
#weddingphoto 
#weddingday 
#wedding 
#weddingmakeup 
#weddingphotography 
#weddingorganizer 
#weddingideas 
#latepost @ Gedung… https://t.co/k9Z457fijO"
1039517712878194689,"Nyender. 
Pinjem pundaknya dulu ya mas, pohon disebelah kurus takut roboh kalo disenderin 😅
•
•
📷 alvapoto 
•
#latepost 
#photoprewedding 
#preweddingphotography https://t.co/SUIVX12t3o"
1032994468792885248,"10 Agustus 2018
-Malam Midodareni-
•
•
Make up by mikeup_kencana
•
#midodareni 
#weddingmakeup 
#weddingpreparation 
#wedding 
#weddingphotography 
#weddingphoto 
#weddingideas… https://t.co/C1cSTtrlBc"
1032993412398702594,"11 Agustus 2018
•
-The Wedding-
•
•
mikeup_kencana 
alvapoto 
•
#weddingphotography 
#wedding 
#weddingday 
#weddingseason 
#weddingparty https://t.co/GazyN5mgIP"
