id,text
152419920003600384,are you serious about starting your own business in 2012? you have to check this out - http://t.co/OF7BIpS7
150627959718412288,want to start your own business in 2011? look at this - http://t.co/5uBL8ud3
149735485454041088,serious about starting your own biz this year? check this out - http://t.co/4sZo5MKw
148463979512082432,want to start your own business in 2011? look at this - http://t.co/WIrHliA3
147665198642245634,want to start your own business in 2011? look at this - http://t.co/GSfR5zNi
147665172188758018,serious about starting your own biz this year? check this out - http://t.co/WT3lC3p7
147540890997620736,want to start your own business in 2011? look at this - http://t.co/xcSBPGFZ
92325063512178688,I'm sooo not looking forward to getting up for work tomorrowwww - cant wait for this thing to work! http://tinyurl.com/64jukqx
92025497969627136,I dun wanna wake up to go to work tomorrowwwww!! :( This ladys my rolemodel!! http://tinyurl.com/6engq8c
91625456717144064,One more month and Ill neeeever have to wake up for my stupid booring job again - so happy I found this! http://tinyurl.com/62rk8ll
