id,text
1074828632672079875,@_DomoWilson1 I watched it all. I’ve been waiting for the truth bro. You one tough ass momma bear 💕
1074828483891683328,"@_DomoWilson1 I had no idea. I love you babyg , keep doing YOU 💕"
1073628419123015681,https://t.co/BzPrRf6dqp
1073617501173493760,@crissydanielle_ FINE AS FUCK
1073616660320436224,"@crissydanielle_ , I love domo and I’ve loved her before I heard about you bc I lived in valpo a couple years ago. But i now love you also, keep doing what makes you happy. You deserve it. With your finee asss 😍🌱💕"
1073615117072379904,"@_DomoWilson1 Cuz you are, tfff."
1073438525893345280,My babe is so attractive. Don’t you think? I thought so. https://t.co/r6MRiV6Owh
1073436457057030145,"@crissydanielle_ I love you &amp; domo, both. I’m sorry"
1073362091371835392,Insta 👉🏼 miw_bri
1073361452633870336,I apologize if you see any of my old twitters lmfao.
