id,text
1074835025223405573,"RT @NASA: We're returning to the Moon, preparing to go beyond to Mars. We are going. We are NASA. https://t.co/y24AaicGRy"
1074834992562429953,"RT @Franklin_Graham: A Mexican official said, “These caravans are very well orchestrated. We’ve seen signals that there is money."" The skep…"
1074834918222557184,"RT @BBNRadio: BBN is on Twitter in 8 languages! 
@BBNRadio 
@BBNEspanol 
@BBNPortugues 
@BBNChinese 
@BBNJapanese 
@BBNKorean 
@BBNDeutsch…"
1074834866628386817,"RT @DonnieSwaggart: Be in prayer for my meetings in Salerno, Italy this week. https://t.co/thAS6QxoPL"
1074834841361936385,"RT @CrossfireBR: ―Word for Every Day―
| November 20 |

“The true Christian does not wish for sympathy with the sin that is in him. He detes…"
1074834795715280897,RT @Whataburger: Close your eyes and reply to this tweet with your favorite Whataburger order
1074834779265294337,"RT @BillyGraham: ""I am convinced the greatest act of love we can ever perform for people is to tell them about God's love for them in Chris…"
1074834756699938817,RT @brfoodbank: Have a Happy Thanksgiving! https://t.co/DEtS5fgCwj
1074834695098118144,"RT @realDonaldTrump: There are a lot of CRIMINALS in the Caravan. We will stop them. Catch and Detain! Judicial Activism, by people who kno…"
1074834650063867904,RT @Wendys: Fixed it. https://t.co/LtmJjeotzs
