id,text
1074050006435409920,Temos que aprovar proibição de carros. Carros matam. #hipócritas #desarmamento https://t.co/bQG3qwATDM
1074045466789273600,@DaniloGentili Deve ser muito trabalhoso checar fontes antes de publicar né. Kkk
1074045396379463680,RT @DaniloGentili: Essas são as pessoas que vão selecionar pra vocês o que é fake news e o que é verdade https://t.co/71bDDLFXiT
1074045069177643014,RT @SargentoFAHUR: Bandido é cacete no lombo e bala no rabo. https://t.co/rEbO6LHaM3
1074044540795973635,Será que confirmar a fonte da muito trabalho? Kkk https://t.co/TcUM1UKiG3
1074044049433223174,"@folha Lula é inocente, diz leitor."
1074043931149651969,@CarlosBolsonaro @Estadao @colunadoestadao Jornalismo brasileiro é falido! Pena de quem não consegue se informar através de outros meios e fica refém do jornalismo.
1074043429431197696,Agora sim é um novo tempo!! https://t.co/G5ev7bwZNz
1074043191018565634,@g1 Pois é. Funciona demais o desarmamento!
1073006618885963776,@g1 Hmmmmm
