id,text
1074837738036318208,La tiza is coming https://t.co/YpJnG6zOOX
1074836739234127872,"@PerfectLegend Pl, a cuban follower over here, who do you gonna main in mk11, lao again?"
1074835730956988416,RT @PerfectLegend: Thank you so much @NetherRealm @MortalKombat @wbgames for the invite to the #MK11 Reveal! Can't wait to be there with ev…
959168173772853249,@noobde greeeeaat hype!!!!
956602988415643648,"@InjusticeGame why there´s not a TDKR Bane gear on injustice 2 ?? or TDK heath ledger Joker, ?? so many unused skins for bot chrcters, and you dont put the coolest in the game, plssssss"
796013542675726338,"esa frase no tiene sentido, entonces todo lo que pasa esta determinado a pasar??? y lo que no, no...???.... :0 https://t.co/6ECsEsOm2C"
796012120085184517,"@CinefiloOficial  nooooo!!!!, no se parcen en nada, o diosssss!!!! ademas, rami es bueno, pero creo que alguien con mas exp. encaja mejor"
768498911887536128,RT @noobde: Maybe we should Karry eXtra Long People who Care? https://t.co/rvq6spBojz
744998366111633412,@NarciChaparro mega hype is activated!!!
718492945683353601,"@Loulogio_Pi Lou, estoy loco por leer tu libro y no tengo forma de hacerme con el, pues soy cubano :), mandame uno en una botella o digital"
