id,text
1074803475987324928,"RT @HornyFacts: date the person who says, ""have fun, be safe, and call if you need anything"" not the person who gets mad at you for going o…"
1074561140884164608,Life https://t.co/0aHCKwC8dT
1074382184377737217,"RT @IntThings: Don’t worry about what they think. Worry about what you think. 
You have to live with your choices. They don’t"
1074226450050502656,"RT @TheGrinch2000: If you utter so much as one syllable, I'LL HUNT YOU DOWN AND GUT YOU LIKE A FISH! If you'd like to fax me, press the sta…"
1073841844696559616,RT @TheGrinch2000: 4:30: Stare into the abyss
1073841823490154497,RT @IntThings: Get so rich that expensive becomes cheap
1073839166331457536,2 am.   Call out by my name by the weekend just topped of my life and what it is right now so yeah...
1073757006610227201,"RT @TheGrinch2000: Uh-oh, somebody's FABULOUS"
1073403770602745857,"RT @HornyFacts: Have you ever had a breakup without even dating? 

Lmfaooooooooooooooo that shit hurts like a motherfucker lowkey"
1072728608786055168,RT @IntThings: Shoutout to the people going through some shit but trying their hardest to be positive. Proud of you
