id,text
1074876669419184129,@hirohana1919 だるまは名駅近辺のエロ映画館で遊んでました^ ^
1074632714123325440,もう、1/3ライスボウルだねー(^^)
1074256676532805632,体に命、心に夢
1074188694003666945,"これ凄い、当たってるわ！

優秀なひどいS なんだかんだで楽しんでいます。 ID 6566637 https://t.co/QZtdoDP8zP #SM診断"
1074027922619432960,"RT @Shibarijp: ついにあと4日でPerfect Red展スタート！
絶対に来て欲しい展示です。
ぼくの人生でこの展示より、凄まじい展示は、現段階でやれる自信がないです。
12/17-23 渋谷ルデコ https://t.co/OFLGbuoSct"
1073985667158335488,RT @playboyakira: 風俗や援交女。身体を売って金を稼いだ女の9割が陥る病がある。それは、自分が特別だと思い込み他人をジャッジする思考習慣。関係性を天秤にかける習慣もあり、それらを指摘してくれる友人も持たない。だからまともな人からは「何か甘やかされた感じの人」と思…
1073847900566765568,"湯河原温泉の混浴露天風呂で3時間ほど温まって帰るとこです。カップルさん3組、とても楽しかったです。
今週はGWでした^ ^有難や！"
1073779731282030592,"アメフトの決勝戦に行くよ。
12/17月曜、19時開始、@東京ドーム
フォロワーさんで行く方います？
https://t.co/rqxKIkDnyw"
1073554573896237058,"RT @saorim2017: 【告知】
第３回SMオフ会

2018年12月30日(日)
予定:20時～23時
場所:都内、DMにてお伝えします

SM、変態嗜好に興味のある方、お話しませんか？

予定が合えばお気軽にDMにてお問い合わせ下さいませ。

当日参加もOKです！…"
1073525990637195264,赤羽と言えば埼京線、埼京線と言えば、ムフフ。。。
