id,text
1027230091368189952,The Richest Person in History is... a Black Man (Worth Way More Than Bill Gates and Jeff Bezos!): https://t.co/tnmY0azuIU
974281158317039616,@melvillehouse scary......
888541712267722752,@AskCapitalOne what date of each month do you check the balance on credit cards and report to credit scorecompany?
719182622685958145,Can't wait for @TheTruthAboutCancer docu-series to air. I got free access to The Premier starting April 12th. https://t.co/e97nh37FN9
686979155930529792,My friend's group needs your help getting sponsored by CustomInk on Pear – it's easy! https://t.co/FWQd3v4DdQ via @Pear_says @CustomInk
684082796596490240,@Melinatedbeauty so true..
684074215432155136,the foods you have listed after you said eat no meat for remainder of cleanse resume normal diet...does that include the foods you have list
684071801425641472,so I can put it in water like a shot glass amount and mix it in? https://t.co/xqyIVQTrGq
684071057171570688,Do I make it like a cup of tea sistern? https://t.co/CLIsk0B91e
684070604656500736,RT @paiigecatherine: @Melinatedbeauty just ordered the detox bundle 😊
