id,text
1074983506722336768,RT @beyonddepth: me after finally getting an ipod in 5th grade https://t.co/y1igIWo1cO
1074983043033694208,RT @Helvisimo: This is too funny. 😂 https://t.co/nuPr0WUBje
1074004388690178048,RT @mehdirhasan: I’m still amazed how little outrage or noise there is about the fact that the refugee kids at the border HAVE FRICKING NUM…
1073984491885117441,"Join @RobinhoodApp and we'll both get a stock like $AAPL, $F, or $S for free. Make sure to use my link.

https://t.co/4s1SHA3jwD"
1073980514003021825,RT @darienbruze: I can’t associate with you if the relationship isn’t mutually beneficial
1073744139462864896,RT @Hyderix: RIff Raff has the WORST freestyle on sway to ever exist. https://t.co/wVGd5wgs6v
1073717695869272064,My barber yardy got me in the game
1073625440865136640,RT @Pink_Monroeee: French toast is better than waffles AND pancakes. Period.
1073017931649466369,RT @HDLOSTSOUNDIV: This nigga Daylyght might be the funniest nigga in the rap game 😂😭 https://t.co/8BkyCZCyFM
1072439373268959234,RT @DylansRawTake: 💀💀💀 This takes “Cry Eagles Cry” to a whole new level. https://t.co/IihgeRH15y
