id,text
1074763793790590982,@realDonaldTrump @marthamaccallum @trish_regan Blagojevich was almost as big a sleaze as you are. You should join him in prison
1074763288767012865,"@realDonaldTrump hey Donnie, what happened to your great stock market . Guess folks have caught on to your lying nonsense"
1074762856355237889,@realDonaldTrump
1021872130542260226,"@realDonaldTrump Hey L’il Donnie, you complain about other countries subsidizing businesses, then give out 12 billion to farmers to fix your own mistake"
1018979748964380677,"@realDonaldTrump Hey little Donnie,
Such a tough guy until you get face to face. Then we see the wimp you are!!"
1012063121379332096,"@realDonaldTrump What say you now Donny boy?
PS...stop shouting"
981314913091096576,"@BillShaikin Bill, Marlins home opener against Cubs..traffic nightmare in and around stadium . First and last time I go to Marlins Park"
979503111093047297,@Marlins opening day 2018. Absolute worst traffic control getting in and out of Marlins Park. First and last time for me at Marlins Park
979496389263675395,@Marlins absolute worst traffic control getting in and out of stadium. First and last time for me at Marlins Park
954867261554282496,@realDonaldTrump You couldn’t even get all Republicans on board. 5 R no votes and McCain did not vote!!!
