id,text
1074853689486000128,"RT @yusuf_dumdum: 10 th berkuasa banyak rakyat di perbatasan hidup tanpa lampu. Jangankan beliau menangis, malah menciptakan 5 album dan 40…"
1071478221105856512,RT @Pandixa_Dz: Knp Gurita Cendana begitu getol dukung Prabowo? Mari baca bareng2 ya tweps! Di era pemerintahan Abdurrahman Wahid deposito…
1071477929123577856,RT @yoyok_uh: @fadlizon Gak mutuuuuuu.....
1071477870696886272,@fadlizon ini puisi memang cocok buat boss nya sendiri
1071477598973128704,RT @Nafisaa98248456: @fadlizon Astagfirullah pak anda itu tokoh masyarakat tolong bikin puisi yg mendidik.
1071477581520633856,RT @Wandavintea: @fadlizon cuma buat puisi inikah prestasi mu
1071477563359342592,RT @Rifaihmad1: @fadlizon Puisi buat diri sendiri ini pak?
1071477552332455936,RT @dedisagala24: @fadlizon Ketauan anda makin panik dan wowo bakal kalah lagi makanNya muncungMu makin banyak mengeluarkan kotoran..
1071477442403954689,"RT @Raden_Atmadja: @fadlizon KPK Wacanakan DPR Tak Digaji.

Setujukah DPR tidak digaji, karena selama ini lebih banyak nyinyir dan bikin pu…"
1070428803166482433,RT @gm_gm: Boedi Oetomo itu siapa ya? Kakak kandung Boedi Otong? https://t.co/B468FvZUM8
