id,text
1074806273424519173,Imagine losing a fight and this is all the other guy had to say https://t.co/mBnuoAj0XF
1074479344607670272,"RT @DailyRapFacts: 10 years ago today, Soulja Boy released his album “iSouljaBoyTellem” with hit singles ‘Kiss Me Thru the Phone’ and ‘Turn…"
1074244650662162432,RT @kanyewest: Keep squares out yo circle
1073852365235601408,RT @uakappasig: @KappaSigmaWGP @KappaSigmaHQ https://t.co/hsZPMZ3D23
1073708832872755200,RT @DModster: ❗️❗️🙏🏾🙏🏾 https://t.co/58Rug4w8cf
1073687110937264128,When nationals is out to get you https://t.co/kNR7qK9Y3u
1073263302464090112,RT @sahnz: Oh shit i shouldnt have woke him up https://t.co/0KMJq8mUrU
1071310040437469186,"RT @nick_colletti: ⚡️ “Mac Miller receives his first Grammy nomination for Swimming”

https://t.co/VsfEnxqlIo"
1070477623833182208,RT @manicsocratic: this is so wholesome https://t.co/S3FfQXpS9h
1065408539303149568,#retweet4good https://t.co/6wzlI7OXQw
