id,text
1075014659076427783,"@SCorrupti0n Hello, sir! Do you think you could help me with my severe anxiety and paranoia?"
1075013506213298182,@gunmanfate Im sowwy úwù
1075013381302607872,@Goremach @hyphsVEVO Yeah haha he fucking blocked me for a masturbation joke hahhahahahahaha ffuck
1075013118181429249,@CLO_UISE What the fuck its literally 7 am im not even at school yet
1075012914254413824,@gunmanfate I want daddys cummy wummys owo
1074861747872387072,I fucking hate Democrats. No offense but a lot of the shit you guys are doing is fucked up.
1074799266869190656,@CLO_UISE Just yell “YO THIS HOE TOUCHIN HER PUSSY”
1074378486394044417,@waddlefaddle @Alliestir1 Im calling the weed
1074153498206453760,@waddlefaddle @Alliestir1 Holy shit ur abducting ur sister?
1074082622018605056,@MayhemVees @ImHighKeyJames wat
