id,text
1075057185162477568,RT @KSAMOFA: #ولي_العهد: الحكومة ملتزمة بالعمل على توفير المزيد من الخدمات وتحسين جودة الحياة والاستثمار في البنية التحتية للحاضر والأجيال…
1075057175029055489,RT @KSAMOFA: #ولي_العهد: بيان الميزانية العامة للدولة يعكس مدى حرص حكومة المملكة على تبني أعلى معايير الشفافية والإفصاح المالي، لتعزيز الثق…
1075057141621448704,RT @KSAMOFA: #ولي_العهد: بيان الميزانية العامة للدولة يعكس مدى حرص حكومة المملكة على تبني أعلى معايير الشفافية والإفصاح المالي https://t.co…
1075053237802291201,RT @SaudiProject: #ميزانية_السعودية_2019 الإيرادات 975 مليار ريال بزيادة 9% والنفقات تريليون و 106 مليار ريال كأكبر إنفاق بتاريخ المملكة ht…
1075053219720650752,RT @SaudiProject: إعلان أكبر ميزانية في تاريخ #السعودية لعام 2019 بمبلغ تريليون و 106 مليار ريال https://t.co/IvkA21dVJ3
1074960122651254784,RT @HashKSA: الأمير عبدالرحمن بن مساعد: ولي العهد مستهدف من قبل الغرب بسبب رؤيته 2030 لأنهم لايريدون أن يكون للمملكة حلمٌ ورؤية وأن تتحول ا…
1074957437361422336,"@BrahimBoulayd ذبابة من ذبابات عزمي.

شيل القناع و توقف عن التمثيل ما ينفع مكشوف."
1074953677255991297,"RT @Fealsora: هل أدرك السفهاء بعد توهمِ
أن السعوديين سيفُ الملهمِ؟
الأمير #عبدالرحمن_بن_مساعد يجلد الحاقدين والمأجورين بقصيدة ساخنة في الذب…"
1074951525255049217,"RT @Fealsora: سمو الأمير #عبدالرحمن_بن_مساعد_في_الصورة 
#أردوغان يبحث عن قطع العلاقات مع #السعودية، وموضوع #خاشقجي ذريعة استخدمها كل طرف في…"
1074815693839851520,"RT @AndriannaDafnis: The size of Saudi Arabia is bigger than I expected! 
#Saudi https://t.co/X7NiXFmSsf"
