id,text
1074444677842132999,RT @MacMillerMemoir: Tiny Desk Concert - 2009 https://t.co/byny7JyFIZ
1073465904548188161,RT @Kevenaguilar_: I believe in second chance                                                  I believe in new beginnings
1073008805984776197,RT @isaacurbina30: I’m just tryna pull myself back together
1072926930217906184,"RT @jarrettstod: you ever sometimes just feeI like: 
⠀
⠀ ⠀
⠀

⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀. .
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⌒
⠀              
⠀
⠀
⠀"
1072548161724579840,RT @SoIcyJank: drugs hit better when ya life fucked up
1071200125916233728,But then again I’m just a regular dude...with nothing to lose
1071111035539652608,RT @oddsponge: dab pen is calling my name
1070366041413509121,"RT @Justina_wrong: Anyone trying to drive around, listen to sad boi music, and get hella high? No Okii."
1070200697050750976,RT @Ryydwan: Why is our generation so unhappy?
1069775577786200064,"RT @aIonept3: no nut november is over.

time for deep depression december. 😞"
