id,text
1074849196132499456,😂😂😂😂😂 https://t.co/FxF4SgFVwg
1073735748623499264,@belalmo30550660 موجود جواك بس مش هقولك فين 😎🚬
1066059142106894336,@mohamed_elhawal نورت تويتر من تانى يا جن 🌚
1025037016852058112,@mohamed_elhawal اسبح
1018385895349800960,@Geman381G ده حاجة استغفر الله العظيم 😏
1018276909539561473,@mo_3oraby @ZiyaDEssAm1 لا ما انا شوفت كتير قبل كده 😂.....هتطلع بكره الصبح
1018266611436916736,@mo_3oraby @ZiyaDEssAm1 نفس الذات نفس انا الكلام ده كان بيتقالى برضه 😑
997163822061416448,@Ragab308 R8 ايه اللى فى سوهاج 😂
995930984737632256,@mohamed_elhawal @MhmdTalaat412 🌚🌚
995357133943296001,@ShashaaSuhaib @ArabGTcom Lamborghini lm002
