id,text
1075116687568105472,"RT @Francois_Ruffin: Méfiez-vous. Surveillez-les. Restez sur vos gardes. Parce que votre idée, ils vont vous la retourner. C’est une caste.…"
1074802415919136769,"RT @AuroreBergee: Pourquoi les CRS frappent les Gilets Jaunes ❓

La réponse en image 😂🤣😂🤣

#GiletsJaunes #Macron #CRS #Police #Gouvernement…"
1074620710604210176,RT @mehdimehdi757: Des CRS maltraitent une personne porteur de handicap car ils confondent sa poche à besoin avec une arme 😡😡  #Acte5 #8Dec…
1074616917984509952,"RT @ALeaument: Eh les #GiletsJaunes ! En fait tout va bien, c'est juste que vous êtes trop bêtes.

«Il y a une 2e erreur qui a été faite (.…"
1074427400203759616,"@shdelarauze @Groupe_DomusVi lol propagande, tous les ehpad domusvi surement pas non"
859813142611755009,"RT @JLMelenchon: Aujourd'hui, procès du maire FN d'Hayange contre l'insoumis Gilles Wobedo. Silence honteux de la meute."
856666033981206528,"RT @RaquelGarridoFI: Bon à savoir. Avec 4,75 M de signatures et 185 parlementaires, on peut obtenir une Constituante. https://t.co/5Xmopewk…"
856301953764261888,"RT @JLMelenchon: «Nous sommes la France insoumise, maintenant et pour toujours.» #LaForceDuPeuple #Presidentielle2017 https://t.co/RFitKzhy…"
855188146602086400,"RT @JLMelenchon: Pensée émue pour les policiers mort et blessés et leurs familles.Les actes terroristes ne seront jamais impunis,les compli…"
855188078004232193,RT @JLMelenchon: Chacun peut tester sur notre site combien il paiera d'impôts si nous arrivons au pouvoir. #BourdinDirect #RMC #BFMTV https…
