id,text
1052058772645003264,@DelhiMetroNCR Your announcement says first coach in the running direction is reserved for ladies. But that's not true esp on violate line. Why such inconsistencies? #DelhiMetro
1049339793836920832,"RT @Yale: William Nordhaus ‘63 B.A., ‘72 M.A., Sterling Professor of Economics at Yale University and the world’s leading economist on clim…"
1048055611324157953,RT @15thFinCom: #FinComNews Finance Commission concludes it's Bihar visit today. Bihar has made spectacular progress in last 10 years. Comm…
1047511655524028416,"RT @NitishKumar: मुख्यमंत्री सचिवालय स्थित 'संवाद' में आयोजित 15वें वित्त आयोग की बैठक में सम्मिलित होते हुए।

https://t.co/bB2KNAe3IR http…"
1047494626251341824,RT @15thFinCom: The Finance Commission of India begins its deliberations with the Government of Bihar. The meeting is presided by Chief Min…
1046700497032417280,"While addressing inequality, are we compromising our diversity? #Justaquest"
1044550499897413634,RT @DasShaktikanta: Local Body finances are crucial not only for development schemes and delivery of services but also for sustainability o…
1040978058398752768,"RT @15thFinCom: Finance Commission will be on state visit of Bihar from 1st October 2018. Today, Commission discussed the state finances fr…"
1037982735963443202,"RT @15thFinCom: @15thFinCom visits India's largest single location solar power plant at Kamuthi, Ramanathapuram distt. of Tamilnadu wid ins…"
1037713908457299969,RT @15thFinCom: @15thFinCom led by Chairman @NKSingh_MP holds detailed deliberations with the state govt of Tamilnadu led by @CMOTamilNadu…
