id,text
1044575348732702720,"@Anglemist_ hi gorgeous, you r looking as lovely as ever! r u escorting? And if so do u see older admirers?"
1035466300271874048,"RT @swinger_couple1: Retweet this and follow me and I’ll DM you something 🥰

Sign Up ╭➤ https://t.co/2LS7khhQ0G https://t.co/GU8saGp5Xq"
958382271790231552,This guys are thick as shit #tippingpoint
954306807744282624,@AustralianOpen @Eurosport_UK FFS there are women's matches being played as well you fucking sexist wankers! Eurosport must be really worst sports broadcaster in the world. #AusOpen
919636021851119617,@NicoleScherzy FFS stick to selling fucking yoghurt and shagging sportsmen! your #xfactor choices were a joke!
915706641756098560,@McIlroyRory I was 12 asked bobby charlton for his autograph told me to fuck off its mr charlton to you hated the cunt ever since im 67 now
902936708748120064,@geniebouchard Time to give up tennis don't you think? When was the last time you made it past round 2?
902927419442696193,@Eurosport_UK FFS 16 games going on &amp; all we get is 4 or 5 fucking has beens pontificating!
901791987648651265,@SChecoPerez u r a cunt
891982251331813376,@thismorning FFS get this silly cow off the sofa she's just a pain in the arse!
