id,text
1072988748017819653,"RT @al4tweets: Quién preferís que sea finalista? #OT18Gala12
RT: SABELA
FAV: MIKI https://t.co/4c81iw8pWP"
1067914443584081920,operación triunfo
1066039528320843776,RT @BelleraProjecte: Aquí teniu algunes imatges de la visita teatralitzada a l'institut que van preparar els alumnes del grup impulsor del…
1066039453326692353,RT @BelleraProjecte: Més imatges... https://t.co/5n23etQ34E
1066039287035113473,RT @BelleraProjecte: Una altra... https://t.co/D2GyFn0fkd
1066039210002518016,RT @BelleraProjecte: Formació de professorat @FundacioAlicia per al nostre @ErasmusPlus_pro @brewise2018 sobre esmorzars saludables. https:…
1066039151630446592,"RT @BelleraProjecte: Minut 13:30, a l?info Vallès presenten el nostre projecte Erasmus Brewise. @brewise2018 @sepiegob @erasmus_Project #gr…"
1066039101223256064,RT @BelleraProjecte: Local dissemination for our @ErasmusPlus_pro @brewise2018. #granollers #bellera#Erasmuspluses #ErasmusPlus @sepiegob @…
1066039061645733888,RT @BelleraProjecte: Ja tenim logo per al nostre @Erasmus_Project @brewise2018. Felicitem el guanyador! #bellera #ErasmusPlus #erasmuspluse…
1066039027193790464,RT @brewise2018: Today we are preparing the logo contest in Granollers @BelleraProjecte. @EUErasmusPlus @sepiegob #ErasmusPlus #Erasmusplus…
