id,text
274704144936357888,Bellator 82 Results: Live Play-by-Play &amp; Updates: http://t.co/svahwIVW
159280451490553858,played the song 'Mmm Mmm Mmm Mmm' by Crash Test Dummies on @myspace http://t.co/V6MPgZtw
157134056801316864,I earned the RSVP badge on Fanzy. https://t.co/D6QofEOh
157133668282941440,I earned the Stand by me badge on Fanzy. https://t.co/D6QofEOh
157133423981498369,I earned the Top 10 badge on Fanzy. https://t.co/D6QofEOh
157133322881990656,Watch caged will be nice to see how the fighters evolve in the sport https://t.co/zwDG5oYw
12104512894,"Cherish what u got today,cuz tomorrow is sure to take it away. BLAH Blah blah he he narf {-:"
10706703938,Heart locked
9883901987,"change is certain it can not be stoped, if you love what u have enjoy it today because change is sure to take it away!!!!"
4460682445,Always do good it will gratify some and astonish the rest..(-:
