id,text
1075012350120468485,https://t.co/N1ZnEXKo2d
1074806072584626178,RT @nachomdeo: Grabois toma Canal 13 para pedir que incorporen a un canal que no ve nadie. No entiende que el canal es una empresa con fine…
1074639362569236480,Ah Jajajajajajaja seeeee!!! https://t.co/Tzs4Xbq6B2
1074114256998686721,@SportivoEscobar Benja Ortiz https://t.co/32pXUbEP8D
1073530233142288384,"RT @literlandweb1: ""Permanece enamorado
Esfuérzate en escribir
Mézclate con la vida
Frecuenta escritores consagrados
No pierdas tiempo
Lee…"
1073362920090800128,"RT @SMN_Argentina: ⚡Regla 30/30 | Si ves un relámpago y posteriormente se escucha el trueno antes de los treinta segundos, significa que el…"
1073188265371557889,"RT @elcoya1977: Saben porqué está libre BOUDOU?

Porque la MAGISTRATURA tiene mayoría PERONISTA.

Saben porqué pudo pagar el MILLÓN?

Porqu…"
1072655081223438336,"RT @elcoya1977: INDIGNANTE!!!!

PRISIÓN DOMICILIARIA PARA BOUDOU!!!!

Siendo Ministro de ECONONÍA se quedó con la FÁBRICA DE HACER BILLETES…"
1072568289476382723,@medicoinquieto Yoro...
1072479776433156096,@medicoinquieto Y la verdad que el packaging y los colores de las pastillas son muy atractivos... Irresistibles!!!😅
