id,text
829333936534851584,RT @Talhaugurluel: Piri Reis'i İdam eden adam https://t.co/TjObRhHLWm
814592393395769345,#cübbelibeyaztvde almanyadan yazıyorum burda havai fiçek atmak sadece yılbaşında izin var.çocuklar da çok istiyo.ne yapmalıyız hocam
798643965587169280,"RT @HaberturkTV: Uğurluel: Mescid-i Aksa'yı unutmamızı istiyorlar #yüreğimdiyorki
CANLI▶https://t.co/XU4lytuFiV https://t.co/d5fwPLECVN"
798640339301056512,@cansucananozgen #yüreğimdiyorki sizin sayenizde bir gün tarihimizi severek öğrenecez ❤️❤️❤️
797566701638402048,#beyazfutboldavetiye https://t.co/mYC6dGd3pJ
797562282620420096,#beyazfutboldavetiye abi yayınla ya https://t.co/PgLQUjOZJ2
797561020092993536,#beyazfutboldavetiye https://t.co/uNfXAcwO5e
797558183388659712,#beyazfutboldavetiye beyazfutboldavetiye https://t.co/1oX6dy5i95
797557991482552321,#beyazfutboldavetiye https://t.co/3yMewQBpBI
797556093564190720,#beyazfutboldavetiye https://t.co/5VROd3uEBT
