id,text
1012521303025188864,RT @KendallRogers: Your 2018 National Champions. @BeaverBaseball @BeaverAthletics https://t.co/AK83Dnd5t3
1011625539067494400,@rothscott @MadronaVentures Congratulations to you and the team! Very exciting!!
989933898506297344,RT @dtboyd: Spotted the new SF VC costume shop at SFO. Now anyone visiting can play the part. https://t.co/Ut5T5V6ZkT
933534562684084224,@jasonglaspey Sure feels like a crossroads
933531305563717632,"State of my house: “Alexa, play cotton-eyed joe in the living room”"
917979850060783616,RT @Kaepernick7: I appreciate you @Eminem ✊🏾 https://t.co/nwavBwsOkQ
901540678089359360,@MountainWest are you kidding on that replay call? So bush league
878705118442471429,Umpires should NEVER have this much impact on a game. #CWS17 #omaha. Pathetic
878702087076323329,This guy is absolutely inept https://t.co/RqH0QGhW1L
856935635046641664,@brianlak Exciting times! Way to go
