id,text
1075057692526276609,"Hmm..menarik juga dinamikanya...seruh...macam pemilu dikampus. 

Prabowo Marah Meninju Meja, Para Ulama Terperangah (Bag-2) https://t.co/KWUrNFDzXT via @Muslim Obsession"
1075055165542096896,Inimah modus...nyari pesangon https://t.co/GOo7VBeoSI
1075050483398647808,"RT @mohmahfudmd: Sy baru dengar berita itu, seharian sy ngajar di Undip. Sy akan cek dulu. Tp kalau Mou memang melanggar hukum sepakbola ya…"
1075039435832614913,"@dhytss Sikologis aja, pengen ngotorin yang bersih"
1075039169209081859,"@dittameliaa Mungkin 10k buat permenit jam kerjanya kali, berbaik sangka saja lol"
1075037088779825153,Pantas https://t.co/QHYwnhO9JV
1075036254297829377,RT @islamidotco: Rasulullah 28 tahun monogami #infografisIslami https://t.co/eszhm4KSXL
1075035994020331523,"RT @rmolco: Mahfud MD: Polisi, Proses La Nyalla Dong #KlikRMOL  #jokowi https://t.co/jWfChUE8z8"
1074835769720659969,Duh senengnya astra international and the gank. https://t.co/V5NjO3ausB
1074564510889852928,RT @Imamofpeace: Merry Christmas 🎄 https://t.co/XeptdAPh94
