id,text
1074768526324494341,@aezzarab25 @NaguibSawiris @kalnaga مبروك يابشمهندس نجيب حصول شركتكم الموقرة علي عقد الاهرامات وان شاء الله بفكرك هتخلي الاهرامات في منطقة اخري باءذن الله فعلا كانت محتاجة حد زيك بجد ربنا يوفقك
1074765400808796161,@trikaofficial ربنا بجزيك خير يارجل ياطيب ياخلوق ويكتر من امثالك.علي فكرة بشجع الزمالك
1064661199831400453,@kmortagy اللهم اشفيه وعافيه
1051251468555231232,@AlaaMubarak_ لاتزعل ولاتنزعج استاذ علاء فهذا هو اعلامنا ولن ينصلح حالة لو كان والدك في السلطة لرايتهم كما تحب واكثر ولكني اقول سيظل السيد الرئيس حسني مبارك بطل من ابطال بل من اهم ابطال حرب اكتوبر سواء ذكره او لم يذكروه .وسياتي يوم وياخذ حقة فكل واحد له ماله وعليه ما عليهتحية لك واخلاقك العالي
1038381387072630784,@AlaaAswany بالتوفيق دايما يادكتور وربنا يكرمك ويوفقك
1038380853804650497,حبيب العادلي .اقصد حبيب بيه العادلي لان زوجتة بتزعل وبتقول اسمه حبيب بيه .كيف ذلك وهو مختلس مليار و350 مليون من اموال هذا الشعب  الضعيف وهو اللي كان حامي الامن وهو اللي كان باجهزتة يقبض علي الحرامية والمجرمين واللصوص والمرتشين  وبعدين يسجن واحد اخد قرض بالف جنيه من البنك.
1034772878108098562,@amrellissy اللهم ارحمة واغفر له
1034772467993243650,@NaguibSawiris عشان البلد ولا عشان كثرة الشغل والموظفين والمشاكل
1032773992837459969,الحمد لله علي اي حال
1015820585383981056,@ElwatanNews لا اله الا الله محمد رسول الله صل الله عليه وعلي اله وصحبه وسلم
